Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,A Monastic's Life,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2013-2,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AY,,,,,,,,,,,,,,,,,,
Start date,15/06/2013,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Monastic life,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/6019-the-relevance-of-monastic-training,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno and Ajahn Yatiko describe how the monk’s discipline has influenced Thai culture and reflect upon how Westerners could integrate elements from the monastic form into their lives. The available recording contains only the first session.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,7,,,,,,,,,,,,,,,,,,
Tags applied,40,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,25:58,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,15/06/2013,AP_06_15_2013_UD1_A_Monastics_Life_Relevance_of_Monastic_Training.mp3,25:58,AP;AY,,https://www.abhayagiri.org/media/audio/AP_06_15_2013_UD1_A_Monastics_Life_Relevance_of_Monastic_Training.mp3,7,Monastic life,,,,1558,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Reflection,,6:44,8:20.8,Part of Sariputta's daily routine was to go around the monastery and make sure everything was neat and tidy.,AP,Great disciples,Monastic routine,Lodging,Cleanliness,Abhidhamma,,,,,,,Cleanliness,80
1,Commentary,,,,to SN 22.2 (available on [PaliVerse](https://www.paliverse.org/book_v2/3-commentary-on-the-book-of-the-aggregates/1-connected-discourses-on-the-aggregates/#dac439ae-5205-4c31-8c43-7abf6a7186e6)).,,,,,,,,,,,,,,
1,Reflection,,8:41,11:42.8,It's helpful if lay supporters are comfortable helping monastics in practical matters such as washing their almsbowls.,AP,Mutual lay/Saṅgha support,Almsbowl,Cleanliness,,Ajahn Sucitto,Spirit Rock,Protocols,,,,,,
1,Recollection,,12:37.5,13:58,Two monks are walking from Abhayagiri to Pacific Hermitage.,AP,Tudong,Abhayagiri,Pacific Hermitage,,Ajahn Sudanto,,,,,,,,
1,Story,,14:15,16:48.5,Three Burmese women pay respects to the cook at Dtao Dum.,AY;AP,Dtao Dum,Respect,Culture/Other Theravāda traditions,Asking forgiveness ceremony,Ajahn Yatiko,Monastic life,,,,,,,
1,,,16:50,18:20.5,Are the [examples of monastic culture] we will be seeing today---is this all steeped in the Canon or does some of it come from Thai culture?,AP,Tipiṭaka,Culture/Thailand,Thai Forest Tradition,,Vinaya,,,,,,,,
1,Recollection,0,18:23,21:24.5,The Buddha paid attention to refined details of conduct and caring for monastic requisites.,AP,Vinaya,Protocols,Requisites,,,,,,,,,,
1,Story,,,,One of Ajahn Chah's monks 'lets go' by not repairing his roof.,,Ajahn Chah,Lodging,Relinquishment,,,,,,,,,,
1,Reflection,s,21:35,,on the ten reasons the Buddha laid down training rules (AN 10.31).,AP,Vinaya,Pāṭimokkha,,,Great disciples,Saṅgha,Communal harmony,Faith,,,,,
1,Vinaya,,,,Kd 17.1.4: Upāli the barber ordains senior to the Sakyan princes.,,Great disciples,Respect,Conceit,,,,,,,,,,
