Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Can We Function without Attachement?,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2017-4,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,01/10/2017,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Clinging,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/54-can-we-function-without-attachment-upasika-day-2017,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno discusses clinging and attachment and their antidote: release and relinquishment.,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,20,,,,,,,,,,,,,,,,,,
Tags applied,103,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,3:08:10,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
2,01/10/2017,2017-10-01 Upasika Day Meditation Can We Function Without Attachment (Part 2).mp3,41:12,AP,,https://www.abhayagiri.org/media/audio/youtube/bTzGU7S5ol4.mp3,5,,,,,2472,,,,,,,
3,01/10/2017,2017-10-01 Upasika Day Meditation Can We Function Without Attachment (Part 3).mp3,1:11:51,AP,Readings from the Sutta Nipata regarding clinging and views,https://www.abhayagiri.org/media/audio/youtube/wpRBg9Zwo-U.mp3,6,,,,,4311,,,,,,,
4,01/10/2017,2017-10-01 Upasika Day Meditation Can We Function Without Attachment (Part 4).mp3,1:15:07,AP,,https://www.abhayagiri.org/media/audio/youtube/DhGvAs6bNIE.mp3,9,,,,,4507,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
2,,,20:40,,How do you deal with attachment to relationships? My dad has cancer and may possibly not be here next year.,,Clinging,Family,,,Parents,Birth,Impermanence,Gratitude,,,,,
2,,,24:33,28:17,How do we deal with the complications that go into the loss of loved ones?,,Grief,Clinging,,,Self-identity view,Suffering,,,,,,,
2,Asked by,,,,,RCenter,,,,,,,,,,,,,
2,,,28:26,32:50,"I heard the word _samatonsin_ all my life, but never knew it means 'to hold it rightly.' Is there a way to hold it wrongly?",,Thai,Clinging,,,Precepts,Attachment to precepts and practices,Three Refuges,,,,,,
2,Asked by,,,,,Janejira,,,,,,,,,,,,,
2,Story,,,,Ajahn Passanno accidentally drinks fruit juice mixed with vodka at a family gathering.,,Ajahn Pasanno,Intoxicants,Precepts,,,,,,,,,,
2,,,32:52,38:22,Is there a way to skillfully form and investigate opinions about the world in terms of Right View?,AP;AKc,Views,Right View,,,Four Noble Truths,Suffering,Conditionality,Proliferation,,,,,
2,Follow-up,,,,What happens when we see that another person's view causes suffering and pain?,,Views,Communal harmony,Suffering,,,,,,,,,,
2,Story,,38:26,40:29,"A black man asks a KKK member, ""Why do you hate people you have never met?""",Anon,Discrimination,Ill-will,Views,,,,,,,,,,
2,Response,,,,,,Listening,,,,,,,,,,,,
3,,,46:26,49:34,"Does physical pain fit under sensuality as the opposite, pushing away?",,Pain,Sensual desire,Aversion,,Fear,Health care,,,,,,,
3,,,49:36,50:55,Snp 4.6 says something about not clinging to passion and dispassion. Usually I hear that cultivating dispassion is a good thing.,,Clinging,Sensual desire,Dispassion,,,,,,,,,,
3,Discussion,,50:59,54:24,about the meaning of quarrels in meditation and in daily life.,,Conflict,Meditation,,,,,,,,,,,
3,,,54:28,56:25,Can you distinguish between clinging and craving?,,Clinging,Craving,,,Dependent origination,,,,,,,,
3,,,56:33,58:22,How do we break the chain of dependent origination?,,Dependent origination,,,,Suffering,,,,,,,,
3,Indirect quote,,,,"As you're falling out of a tree, you're not counting the branches as you go down. All you know is that when you hit the bottom, it's going to hurt.|Ajahn Chah",,Ajahn Chah,Dependent origination,Suffering,,,,,,,,,,
3,,,58:25,1:00:01,"Snp 4.5 and Snp 4.6 refer to what is seen, heard and thought. Is there more to this than developing awareness of what you're thinking, hearing, and seeing?",,Sense bases,Direct experience,,,,,,,,,,,
4,,,0:07,5:47,How do we make sense of the whirlpool of assumptions?,,Proliferation,Clinging,,,Discernment,Perception,Impermanence,Ajahn Chah,Views,,,,
4,Quote,,,,Welcome to the human existence.,,Human,,,,,,,,,,,,
4,,,22:09,24:12,"In AN 9.41, does the Buddha enumerate the drawbacks of sensuality?",,Sensual desire,Drawbacks,,,,,,,,,,,
4,Reference,,,,"""[Drawbacks](https://www.accesstoinsight.org/ptf/dhamma/adinava/index.html),"" part of [_A Path to Freedom: A Self-guided Tour of the Buddha's Teachings_](https://www.accesstoinsight.org/ptf/index.html) on accesstoinsight.org. ",,Dhamma online,Desire,Drawbacks,,,,,,,,,,
4,Sutta,,,,MN 13: Mahādukkhakkhandha Sutta,,,,,,,,,,,,,,
4,,,24:24,31:30,Can you speak about the relationship between renunciation and moderation?,,Renunciation,,,,Habits,Suffering,Sensual desire,Spiritual urgency,Ajahn Pasanno,,,Renunciation,110
4,Extra tags,,,,,,,,,,Faith,Conditionality,Appropriate attention,Perfections,,,,,
4,Reflection,,31:32,34:31,The common root of renunciation and compassion is the relationship to suffering.,,Renunciation,Compassion,Suffering,,,,,,,,,,
4,Reading,,,,"""[The Balanced Way](https://www.accesstoinsight.org/lib/authors/bodhi/bps-essay_08.html)"" by Bhikkhu Bodhi on accesstoinsight.org.",BBodhi,Renunciation,Compassion,,,,,,,,,,,
4,Read by,-,,,,AP,,,,,,,,,,,,,
4,Comment,,35:16,38:02,The mind can get caught on relinquishment itself.,RCenter,Relinquishment,Clinging,,,Compassion,,,,,,,,
4,Response,,,,,,Views,Attachment to precepts and practices,Self-identity view,Appropriate attention,,,,,,,,,
4,Comment,,38:06,39:22,Renunciation sometimes requires decisively turning against established patterns.,,Renunciation,Clinging,Determination,,,,,,,,,,
4,Response,,,,,,,,,,,,,,,,,,
4,,,39:40,42:48,Is it possible that [Parami]() will be reprinted?,,Dhamma books,Ajahn Sucitto,,,Free distribution,,,,,,,,
4,,,42:50,47:36,How does renuciation reinforce compassion?,AP;AJoti,Renunciation,Compassion,Sloth and torpor,,Suffering,Clinging,Goodwill,Right Intention,,,,Renunciation,120
4,Extra tags,,,,,,,,,,,,,,,,,Compassion,150
4,Sutta,,,,Snp 1.8: The Metta Sutta.,,,,,,,,,,,,,,
4,Indirect quote,,55:04,58:41,"During the construction of a new hall, an engineer asks when it will be finished.|Tonight. Comes the evening, it's finished. Tomorrow morning, I might do it again.|Ajahn Liem",,Ajahn Liem,Building projects,Wat Pah Pong,Relinquishment,,,,,,,,,
