Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Desire or Aspiration,,,,,,,,,,,,,,,,,,
Subtitle,Can a Buddhist Want Anything?,,,,,,,,,,,,,,,,,,
Code,SRD2015,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,14/06/2015,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Craving;Desire,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/6/52-desire-or-aspiration-a-daylong-by-ajahn-pasanno,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno differentiates between skillful and unskillful desire, distinguishing between two Pāli words that are translated as desire: taṇhā, which is a cause of suffering, and chanda, which is one of the Four Bases of Success.",,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,16,,,,,,,,,,,,,,,,,,
Tags applied,173,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:11:21,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,14/06/2015,2015-06-14 Desire or Aspiration SRMC Daylong Questions and Answers 1.mp3,36:55,AP,,https://www.abhayagiri.org/media/audio/AP_06_14_2015_SR_Daylong_Desire_or_Aspiration_4_Q_and_A_1.mp3,11,,,,,2215,,,,,,,
2,14/06/2015,2015-06-14 Desire or Aspiration SRMC Daylong Questions and Answers 2.mp3,34:26,AP,,https://www.abhayagiri.org/media/audio/AP_06_14_2015_SR_Daylong_Desire_or_Aspiration_7_Q_and_A_2.mp3,5,,,,,2066,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,1:31,3:01,Was the Buddha so miserable that he kept thinking about all these ideas? Where did his motivation come from?,,Buddha/Biography,Suffering,Desire,Monastic life/Motivation,Western psychology,Rebirth,Spiritual search,,,,,Buddha/Biography,100
1,Edited audio,,,,SRD2015_S01_F01.mp3,,,,,,,,,,,,,,
1,,o,3:00,5:42,"If the Buddha had been born elsewhere, would he have turned out the same way?",,Buddha/Biography,Cultural context,,,Commentaries,Culture/India,Spiritual search,Renunciation,Mahāyāna,,,Culture/India,150
1,Extra tags,,,,,,,,,,Saṃsāra,,,,,,,,
1,,,5:54,10:21,"I've been confused between intention and desire. For me, desire arises from non-conceptual craving.",,Volition,Craving,Desire,Language,Cause of Suffering,Right Effort,Happiness,Kamma,Pāli,,,,
1,,,10:35,,Are all manifestations of desire and motivation ultimately a desire for happiness or are there motivations for truly negative things?,,Desire,Craving,Volition,Happiness,Ill-will,Fear,Discernment,,,,,,
1,Extra tags,,,,,,Unskillful qualities,Nature of mind,,,,,,,,,,,
1,,,12:48,15:03,I'm not sure how to be with close friends or family members who out of a desire to avoid pain and find happiness engage in self-destructive behaivor that also harms those around them.,,Family,Spiritual friendship,Unskillful qualities,Craving,Discernment,,,,,,,,
1,Extra tags,,,,,,Compassion,,,,,,,,,,,,
1,Sutta,,,,[Maṅgala Sutta](Chanting Book p. 46): Don't associate with fools.,,,,,,,,,,,,,,
1,,,15:07,17:28,How did you get through the 106° heat? Did you have a different schedule?,,Abhayagiri,Culture/Natural environment,,,Mindfulness of breathing,Work,,,,,,,
1,Story,,,,Ajahn Pasanno attends a very hot ordination at the City of Ten Thousand Buddhas.,,Ajahn Pasanno,City of Ten Thousand Buddhas,Culture/Natural environment,Ordination,,,,,,,,,
1,,,17:32,21:50,Are there different stages of enlightenment?,,Stages of awakening,,,,Stream entry,,,,,,,,
1,Follow-up,,,,And how would one know if you've reached the first stage [of awakening]?,,Stream entry,Doubt,Self-identity view,Not-self,Liberation,Attachment to precepts and practices,Knowledge and vision,,,,,,
