Modified:,2025,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Teaching,0,Session,,"Ajahn Pasanno begins the retreat by encouraging us to return to the basics of the Noble Eightfold Path. He mentions Iris Landsberg, a long-standing lay supporter dying of lung cancer, both to set the tone for the monk's final visit to her and to encourage us to practice while there is still time. Iris passed away February 1, 2014.",,Eightfold Path,Sickness,Death,Mutual lay/Saṅgha support,Ajahn Pasanno,Meditation retreats,Family,Health care,,,,,
1,Extra tags,,,,,,Spiritual urgency,,,,,,,,,,,,
1,Sutta,,,,DN 16.5.27: The world will not be devoid of awakened beings as long as people are practicing the Eightfold Path.,,Stages of awakening,Eightfold Path,,,,,,,,,,,
1,Story,,,,Ajahn Pāvaro decides to practice in Bodh Gaya after receiving worrying medical news.,,Ajahn Pavaro,Sickness,Health care,Visiting holy sites,Impermanence,,,,,,,,
1,Sutta,,,,MN 131: Bhaddekaratta Sutta (Chanting Book p. 75),,,,,,,,,,,,,,
2,Other,,0:26,1:44,Ajahn Karuṇadhammo describes the scope and format of the Winter Retreat 2014 readings.,AKd,,,,,,,,,,,,,
2,Recollection,,2:12,,This talk was given to a group of Western monks led by Ajahn Khantipālo paying respects to Ajahn Chah in Bangkok.,AP;AKd,Ajahn Khantipālo,Ajahn Chah,,,Ajahn Sumedho,Translation,Hearing the true Dhamma,,,,,,
2,Reading,,4:47,32:13,“The Training of the Heart” from Collected Teachings pp. 505-516.,,,,,,,,,,,,,,
2,Read by,,,,,AKd,,,,,,,,,,,,,
2,,,32:24,,Was this talk given on a formal occasion?,,Teaching Dhamma,Ajahn Chah,,,Thai sects,,,,,,,,
2,,,35:45,,What did Ajahn Chah mean by 'Nowadays there are only sterile remains of the Dhamma.',,Ajahn Chah,Dhamma,,,Culture/Thailand,Practicing in accordance with Dhamma,Liberation,,,,,,
3,Other,,0:00,0:47,Ajahn Ñāṇiko compares Ajahn Liem to Ajahn Sao.,ANy,Ajahn Liem,Ajahn Sao,,,Technology,,,,,,,,
3,Reading,,0:51,,“Watch Your Mind and Escape Māra's Snare” from Santi pp. 6-23.,,,,,,,,,,,,,,
3,Read by,,,,,ANy,,,,,,,,,,,,,
4,Reading,,Session,,“Watch Your Mind and Escape Māra's Snare” from Santi pp. 23-36.,,,,,,,,,,,,,,
4,Read by,,,,,ANy,,,,,,,,,,,,,
5,Reading,,Session,,“Introduction” and “The Art of Letting Go” from [Breath in Mind]() pp. [v-viii](Breath in Mind p. 5) and [28-30](Breath in Mind p. 28).,,,,,,,,,,,,,,
5,Read by,,,,,AJoti,,,,,,,,,,,,,
5,,,30:00,,Does anyone know the Thai word that Ajahn Ṭhānissaro translates as “preoccupations?”,AP;AJoti,Thai,Translation,Ajahn Ṭhānissaro,,,,,,,,,,
