Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Practice in a Global Context,,,,,,,,,,,,,,,,,,
Subtitle,Being a Good Citizen,,,,,,,,,,,,,,,,,,
Code,UD2017-3,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,12/08/2017,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Politics and society,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/55-practice-in-a-global-context-being-a-good-citizen-upasika-day-2017,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno leads an exploration of the Buddha’s teachings on living in society and how we can apply them today.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,17,,,,,,,,,,,,,,,,,,
Tags applied,115,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,3:46:39,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,12/08/2017,2017-08-12 Upasika Day Practice in a Global Context; Being a Good Citizen.mp3,3:46:39,AP,,https://www.abhayagiri.org/media/audio/youtube/v1JrjH4HJmE.mp3,17,Politics and society,,,,13599,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Summary,,Session,,"Includes readings from _Social and Communal Harmony_ by Bhikkhu Bodhi (commercial), DN 31: Sīgālovāda Sutta, and _Homo Deus_ by Yuval Noah Harari (commercial).",,,,,,,,,,,,,,
0,Quote,,33:16,34:14,"That person is making me suffer....If they would just smarten up and do what I like, then I would be happy. My life would be smooth and peaceful again, just like it always was before.",,Cause of Suffering,Humor,,,,,,,,,,,
