Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Mindfulness of Breathing,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2014-3,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,26/10/2014,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Mindfulness of breathing;Meditation,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/62-mindfulness-of-breathing-upasika-day-2014,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno describes mindfulness of breathing as a method to firmly establish the mind and develop insight.,,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,20,,,,,,,,,,,,,,,,,,
Tags applied,98,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,2:28:31,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,26/10/2014,2014-10-26 Upasika Day - Mindfulness of Breathing (Part 1).mp3,1:14:25,AP,,https://www.abhayagiri.org/media/audio/AP_10_26_2014_Upasika_Day_Mindfulness_of_Breathing_1.mp3,10,Mindfulness of breathing,,,,4465,,,,,,,
2,26/10/2014,2014-10-26 Upasika Day - Mindfulness of Breathing (Part 2).mp3,1:14:06,AP,,https://www.abhayagiri.org/media/audio/AP_10_26_2014_Upasika_Day_Mindfulness_of_Breathing_2.mp3,10,Mindfulness of breathing,,,,4446,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Comment,,41:45,43:41,"I notice a connection between a person who is preparing for transition and going though agonal breathing. It's one breath per minute or two, and it's relaxed.",,Death,,,,,,,,,,,,
1,Response,,,,,,Release,Clinging,Relinquishment,,,,,,,,,,
1,Indirect quote,,,,You have to keep letting go until there is no remainder.|Ajahn Chah,AP,Ajahn Chah,Relinquishment,Liberation,,,,,,,,,,
1,,,43:43,,"I've had the experience on retreat of getting to slow, shallow breathing and panicked because I couldn't find the breath. Could you say more about just going to the knowing?",,Meditation/Unusual experiences,Tranquility,Fear,Knowing itself,Mindfulness of body,Investigation of states,Nimitta,Faith,,,,Mindfulness of breathing,300
1,,,47:47,50:38,"I have a hard time breathing normally due to congestion and athsma. How does one get past the initial fear, 'I just can't breathe. How am I going to do this?'",,Health,Fear,,,Mindfulness of body,Body scanning,Tranquility,,,,,Mindfulness of breathing,200
1,,,50:46,,At what point in your meditation do you shift to knower or witness?,,Meditation/Techniques,Knowing itself,,,Investigation of states,Happiness,Tranquility,Calming meditation,Insight meditation,,,,
1,Extra tags,,,,,,,,,,Doubt,Desire,,,,,,,
1,,,56:13,,"At times during my meditation, my body acts funny, leaning to one side or the other or spinning. What causes this? Is it a good or bad sign?",,Meditation/Unusual experiences,,,,Kamma,Teachers,Mindfulness of body,Rapture,,,,,
1,,,1:00:51,,"When I practice mindfulness of breathing, thought arises. Do I want to eliminate thinking?",,Right Concentration,Directed thought and evaluation,Proliferation,,Nature of mind,Self-identity view,Discernment,Mindfulness of mind,Investigation of states,,,,
1,Extra tags,,,,,,,,,,Relinquishment,,,,,,,,
1,Comment,,1:05:07,1:07:02,"My mind will fill with chatter, stuff I'm not interested in. What I've come to do is just say, 'This is a chaotic mind.'",,Proliferation,Mindfulness of mind,,,,,,,,,,,
1,Response,,,,,,,,,,,,,,,,,,
1,,,1:07:04,1:09:30,How do you keep the self from coming up if this is an interesting thought to follow?,,Self-identity view,Directed thought and evaluation,,,Conditionality,Aggregates,Knowing itself,,,,,,
1,,,1:09:33,1:11:12,Sometimes there will be sponaneous verbal recollection of Dhamma. Is this skillful?,,Recollection/Dhamma,,,,Relinquishment,Proliferation,,,,,,,
1,,,1:11:18,1:13:54,I get stuck with subtle unpleasant moods. Any advice?,,Clinging,Feeling,Emotion,,Mindfulness of body,Goodwill,Continuity of mindfulness,,,,,Feeling,?
2,,,50:21,,Could you translate sati as recognizing?,,Mindfulness,Translation,Pāli,,,,,,,,,,
2,Comment,,52:12,,"Dispassion, fading away—these things are happening anyway, and we're learning to see them.",,Dispassion,Learning,,,,,,,,,,,
2,Comment,,53:06,54:42,I tend to make things harder for myself. I come up with some big projections.,,Proliferation,,,,,,,,,,,,
2,Response,,,,,,Ajahn Chah,Teaching Dhamma,Simplicity,Buddha,,,,,,,,,
2,,,54:45,,[Question unclear] Is modulating a good way to describe working with the breath?,,,,,,,,,,,,,,
2,Comment,,55:49,,"My mind goes away, and I'm lost in a story. But if I sit and don't move, eventually when I come back I realize the body is really settled and I can tune in to that.",,Proliferation,Tranquility,,,,,,,,,,,
2,,,56:38,57:32,Modulating the breath seems more sublte than controlling it. Does this relate to where you put your attention as it grows?,,,,,,Kamma,Directed thought and evaluation,,,,,,,
2,,,57:35,59:06,How often do you employ mindfulness of breathing in daily life? How much volition are you still using?,,Everyday life,Ajahn Pasanno,Continuity of mindfulness,Volition,Mindfulness of body,,,,,,,Mindfulness of breathing,120
