Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Happiness on the Buddhist Path,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,SRD2023,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,20/08/2023,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Happiness,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/8245-happiness-on-the-buddhist-path-spirit-rock-2023,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno describes why and how happiness is a key element of effective Dhamma practice. Skillful moderation contributes to an excellent question and answer session.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,8,,,,,,,,,,,,,,,,,,
Tags applied,81,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,4:11:09,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,20/08/2023,2023-08-20 Happiness on the Buddhist Path (Spirit Rock 2023).mp3,4:11:09,AP,,https://www.abhayagiri.org/media/talks/2023/LPPatSpiritRock_8.20.23.mp3,8,,,,,15069,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,,,1:28:01,1:37:44,Is misery the absence of happiness?,,Suffering,Happiness,,,Language,Conditionality,Pāli,,,,,,
0,Teaching,0,,,Derivation of dukkha: du = not good or not comfortable; kha = where the axle goes into the wheel.,,Suffering,Pāli,,,,,,,,,,,
0,Story,,,,Driving a car with frozen wheels is dukkha.,,Ajahn Pasanno,Suffering,Similes,,,,,,,,,,
0,,,1:38:18,1:45:01,What is meant by skillful?,,Skillful qualities,,,,Unskillful qualities,Happiness,Tranquility,Kamma,Discernment,,,Skillful qualities,120
0,Indirect quote,,,,The language of Dhamma is the language of feeling.|Ajahn Chah,,Ajahn Chah,Dhamma,Feeling,,,,,,,,,,
0,,,1:45:10,1:54:48,"During times of intense joy and happiness, I find that joy and happiness itself can trigger worry, fear, or desire to control. From this morning's teachings, I took that one way to skillfully hold happiness is to share it; another is to express gratitude for it. Do you have any advice on how to hold happiness when it feels almost too big to release into?",,Happiness,Fear,Gratitude,,Self-identity view,Compassion,Discernment,Right Speech,Admonishment/feedback,,,Happiness,200
0,Extra tags,,,,,,,,,,Humility,,,,,,,,
0,Sutta,,,,AN 2.126: Two conditions for the arising of Right View.,,Right View,Spiritual friendship,Appropriate attention,,,,,,,,,,
0,Quote,,,,What is the essence of the Buddha's teachings? You are not what you think.,,,,,,Not-self,Proliferation,,,,,,,
0,,,1:54:51,2:02:12,"Am I what I feel? We have a lot of feelings as humans, and then a lot more feelings have come up since COVID. There's a lot of depression, hurt feelings, regret, death, end of relation and of income, end of status. A lot of us want to know how to work with this or even change these really hard emotional states.",,Emotion,Human,Self-identity view,Pandemic,Suffering,Spiritual friendship,Compassion,,,,,,
0,Extra tags,,,,,,Grief,,,,,,,,,,,,
0,Recollection,,,,"""Sometimes Ajahn Chah would consciously make things difficult for us....He's always pointing back to the heart.""",,Ajahn Chah,Fierce/direct teaching,Heart/mind,,,,,,,,,,
0,,,2:02:25.5,2:09:25,Is physical sexual desire the same as the desire for food and water? Or should it be avoided?,,Sensual desire,,,,Monastic life,Human,Self-identity view,Sexual misconduct,Food,,,Sensual desire,85
0,Extra tags,,,,,,,,,,Sense restraint,Relationships,Trust,Five Precepts,,,,,
0,Sutta,,,,AN 8.39: The five great gifts.,,Five Precepts,,,,,,,,,,,,
0,,,2:09:38,2:17:11,Is there a right speed to silent walking?,,Posture/Walking,,,,Abhayagiri,Postures,Continuity of mindfulness,,,,,,
0,Story,,,,"Jack Kornfield asks Ajahn Chah, ""Whenever you teach walking meditation, you always teach the monks to walk slowly. But whenever you walk meditation, you walk really fast.",,Ajahn Chah,Jack Kornfield,Posture/Walking,Teaching Dhamma,Exercise,,,,,,,,
0,Fragment,,2:15:28,2:17:11,,,,,,,,,,,,,,,
0,Teaching,,,,Translations of sampajañña (clear comprehension) and its role in Dhamma practice.,,Clear comprehension,Translation,,,Mindfulness,Posture/Walking,,,,,,Clear comprehension,90
0,,,2:17:47,2:26:22,How to turn grief of the planet and humankind into creative action?,,Grief,Environment,Human,Activism,Generosity,Gratitude,Purpose/meaning,Community,Aversion,,,Human,130T
0,Quote,n,,,"If you think you've got to solve the problem completely yourself, that stirs one into inaction.",,,,,,,,,,,,,,
0,Recollection,,,,The nonprofit organization founded by Ajahn Pasanno to protect forests in Thailand is still operating.,,Ajahn Pasanno,Environment,Non-profit organizations,Culture/Thailand,,,,,,,,,
