Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Recollections of Ajahn Chah: 100th Birthday Anniversary Celebration,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,SRD2018,,,,,,,,,,,,,,,,,,
Series,Spirit Rock Daylongs,,,,,,,,,,,,,,,,,,
Venue,Spirit Rock Meditation Center,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,18/05/2018,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,,,,,,,
Website,https://dharmaseed.org/talks/50181/,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno reflects on Ajahn Chah's life and legacy on the 100th anniversary of his birth.,,,,,,,,,,,,,,,,,,
Sessions,4,,,,,,,,,,,,,,,,,,
Excerpts,55,,,,,,,,,,,,,,,,,,
Tags applied,302,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,13:02:48,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,18/05/2018,20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,4:20:56,AP,Ajahn Chah's Early Life,https://dharmaseed.org/talks/50181/20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,15,Ajahn Chah,,,,15656,,,,,,,
2,18/05/2018,20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,4:20:56,AP,Meal Offering,https://dharmaseed.org/talks/50181/20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,1,,,,,,,,,,,,
3,18/05/2018,20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,4:20:56,AP,The Legacy of Ajahn Chah,https://dharmaseed.org/talks/50181/20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,20,Ajahn Chah,,,,15656,,,,,,,
4,18/05/2018,20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,4:20:56,AP,Teachings on Meditation,https://dharmaseed.org/talks/50181/20180527-Ajahn_Pasanno-SR-recollections_of_ajahn_chah_100th_birthday_anniversary_celebration-50181.mp3,19,Ajahn Chah,,,,15656,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Story,,9:39,12:45,The 20-year history of [Stillness Flowing]().,,Dhamma books,Ajahn Jayasaro,,,Sickness,Translation,,,,,,,
1,Reflection,s,13:02,17:27,about Buddhism in Northeast Thailand.,,Geography/Thailand,Theravāda,Culture/Thailand,,Isan,,,,,Yes,,,
1,Indirect quote,,,,"You don't have to worry, Dad. Buddhism in Thailand is not organized.|Ajahn Siripañño",,Ajahn Siripañño,Culture/Thailand,,,,,,,,,Yes,,
1,Reading,,,,from Stillness Flowing pp. 19-20: The culture of Northeast Thailand.,,Culture/Thailand,Geography/Thailand,,,,,,,,Yes,,Culture/Thailand,80e
1,Story,,22:46.5,24:13.5,Ajahn Chah goes to live in the monastery at age nine.,,Monastic life,,,,Work,,,,,,,,
1,Story,,24:15,34:06,"Ajahn Chah's first years as a monk, his solemn resolve, and his first attempts at meditation.",,Monastic life,Meditation,Determination,,Forest versus city monks,Ordination,Study monks,Family,Culture/Thailand,,,,
1,Extra tags,,,,,,,,,,Death,,,,,,,,
1,Recollection,,34:08,38:34,"When asked about what qualities allowed him to succeed in practice, Ajahn Chah replied, ""I dared to do it.""",,Courage,,,,Jack Kornfield,Determination,Energy,,,,,,
1,Cut audio,,38:05,38:20,,,,,,,,,,,,,,,
1,Reference,,,,Collected Teachings p. 572.,,,,,,,,,,,,,,
1,Indirect quote,,,,In the ground there is water. All you need to do is dig a well.|Ajahn Chah,,Ajahn Chah,Similes,,,,,,,,,,,
1,Reference,-,,,Stillness Flowing p. 614.,,,,,,,,,,,,,,
1,Main fragment,,35:11,38:34,,,Ajahn Chah,Courage,,,Determination,Energy,,,,,,Courage,100
1,,,39:59,42:20,"You said that when Ajahn Chah was a younger monk, he was almost afraid of meditation. I was curious about that.",,Meditation,,,,Culture/Thailand,Psychic powers,Thai Forest Tradition,Forest versus city monks,,,,,
1,,,42:35,45:44,How common was it for children to continue after they had ordained at such a young age and stay in the robes as adults?,,Culture/Thailand,Novices,Ordination,,Temporary ordination,Disrobing,,,,,,,
1,,,45:55,49:09,What kind of meditation did Ajahn Chah follow in the early days? What were the meditating monks actually doing [at that time]?,,Meditation/Techniques,History/Thai Buddhism,,,Buddho mantra,Mindfulness of breathing,Recollection/Buddha,Unattractiveness,Elements,,,,
1,,,49:24,56:46,"How did Isan manage to withstand the waves of Communist overthrow that came through Laos and Cambodia, which was so devastating to the monastic community? Ajahn Chah would have been very aware and impacted by that. How did the people of Isan understand themselves? How were they able to withstand that threat to their existence?",,Politics and society,History/Thai Buddhism,History/Other Theravāda traditions,Culture/Thailand,,,,,,Yes,,,
