Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,The Gradual Training,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2012-4,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AY,,,,,,,,,,,,,,,,,,
Start date,20/10/2012,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Gradual Teaching,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/68-the-gradual-training-upasika-day-2012,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno and Ajahn Yatiko describe the Buddha's progressive teaching, which begins by encouraging generosity and virtue and goes on to describe the joys of heaven, the drawbacks in sensuality, the benefits of renunciation, and the Four Noble Truths.",,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,17,,,,,,,,,,,,,,,,,,
Tags applied,135,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,53:19,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,20/10/2012,2012-10-20 Gradual Training Questions and Answers 1.mp3,20:09,AP;AY,,https://www.abhayagiri.org/media/audio/AP_10_20_2012_Gradual_Training_UD3_QA1.mp3,8,Gradual Teaching,,,,1209,,,,,,,
2,20/10/2012,2012-10-20 Gradual Training Questions and Answers 2.mp3,33:10,AP;AY,,https://www.abhayagiri.org/media/audio/AP_10_20_2012_Gradual_Training_UD6_QA2.mp3,9,Gradual Teaching,,,,1990,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
