Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,On Pilgrimage and Tudong,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2015-1,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AKd;ANy,,,,,,,,,,,,,,,,,,
Start date,25/04/2015,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Visiting holy sites;Tudong,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/60-on-pilgrimage-and-tudong-upasika-day-2015,,,,,,,,,,,,,,,,,,
Description,"The teachers describe monastic wandering pilgrimages in India, Thailand, and the United States.",,,,,,,,,,,,,,,,,,
Sessions,2,,,,,,,,,,,,,,,,,,
Excerpts,27,,,,,,,,,,,,,,,,,,
Tags applied,138,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:15:57,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
3,25/04/2015,2015-04-19 Upasika Day Questions and Answers about Pilgrimage.mp3,16:41,AP,Questions and Answers about Pilgrimage,https://www.abhayagiri.org/media/audio/AP_AKd_AN_04_19_2015_Upasika_Day_Pilgrimage_3_QA.mp3,9,Visiting holy sites,,,,1001,,,,,,,
4,25/04/2015,2015-04-19 Upasika Day Tudong Pilgrimage in Thailand.mp3,59:16,AP,Tudong Pilgrimage in Thailand,https://www.abhayagiri.org/media/audio/AP_AKd_AN_04_19_2015_Upasika_Day_Pilgrimage_4_Tudong.mp3,18,Tudong,,,,3556,,,,,,,
