Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Brightening the Mind,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2012-3,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd,,,,,,,,,,,,,,,,,,
Start date,19/08/2012,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Gladdening the mind,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/8/70-brightening-the-mind-upasika-day-2012,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,16,,,,,,,,,,,,,,,,,,
Tags applied,103,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,46:24,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,19/08/2012,2012-08-19 Brightening the Mind - Questions & Answers.mp3,17:35,AP,Brightening the Mind,https://www.abhayagiri.org/media/audio/AP_08_19_2012_Brightening_UD_p1b_QA.mp3,5,,,,,1055,,,,,,,
2,19/08/2012,2012-08-19 Recollection of the Devas - Questions & Answers.mp3,18:51,AY,Recollection of the Devas,https://www.abhayagiri.org/media/audio/AY__08_19_2012_Devanussati_UD_p2b_QA.mp3,8,Deva,Recollection/Devas,,,1131,,,,,,,
3,19/08/2012,2012-08-19 Generosity and Peace - Questions and Answers.mp3,9:58,AKd,Generosity and Peace,https://www.abhayagiri.org/media/audio/AKd_08_19_2012_Caga_and_Upasama_UD_p3b_QA.mp3,3,,,,,598,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,,,0:05,,"Could you expand about the layers of understanding of thought, perception, and dukkha?",AP;AY,Discernment,Directed thought and evaluation,Perception,Suffering,Proliferation,Relinquishment,,,,,,,
1,Indirect quote,,,,"First you study the Dhamma, then you know the Dhamma, then you see the Dhamma, they you be the Dhamma.|Ajahn Chah",AP,Ajahn Chah,Dhamma,Progress of insight,,,,,,,,,,
1,Commentary,,,,Path of Purification p. 631: The highest level of understanding is giving up.,,Discernment,Relinquishment,,,,,,,,,,,
1,Comment,,3:08,,"Ajahn Chah said that Nibbāna is letting go, but this is difficult to do at deep levels.",,Ajahn Chah,Nibbāna,Relinquishment,Suffering,,,,,,,,,
1,Response,s,,,,AP;AY,Self-identity view,Practicing in accordance with Dhamma,,,,,,,,,,,
1,Comment,,4:59,6:21,"In the practice, we use gladdening the mind to balance the preception of suffering.",,Gladdening the mind,Noble Truth of Suffering,Cessation of Suffering,Recollection,,,,,,,,,
1,Response,,,,,,Four Noble Truths,,,,,,,,,,,,
