Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Devotion and Ritual: Becoming the Buddha,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,UD2017-1,,,,,,,,,,,,,,,,,,
Series,Upāsikā Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,30/04/2017,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Devotional practice;Buddha images;Ceremony/ritual,,,,,,,,,,,,,,,,,,
Website,https://www.youtube.com/watch?v=dFvT5Yikukw&list=PLoNO26iBjavYlzOZ44gbOgoa8oXY-itav&index=34,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno describes the origins, elements, and meaning of the recent consecration ceremony for the Buddha image in Abhayagiri's newly-build Reception Hall.",,,,,,,,,,,,,,,,,,
Sessions,3,,,,,,,,,,,,,,,,,,
Excerpts,38,,,,,,,,,,,,,,,,,,
Tags applied,188,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,8:54:27,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,30/04/2017,Upasika Renewal Day Devotion and Ritual Becoming the Buddha - Ajahn Pasanno.mp3,2:58:09,AP,Sequence and Meaning of the Consecration Ceremony,,15,,,,,10689,,,,,,,
2,30/04/2017,Upasika Renewal Day Devotion and Ritual Becoming the Buddha - Ajahn Pasanno.mp3,2:58:09,AP,Readings and Reflections on MN 26: The Noble Search,,6,,,,,10689,,,,,,,
